time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2022-10-16T14:33:25.60Z,46.3655024,-72.6755680,71.606,-1.42,-0.05,2.91,85.797,110.809,9.35,0.00000,71.08520,3,4
2022-10-16T14:33:25.80Z,46.3654922,-72.6755686,71.847,-1.20,-0.14,2.81,57.076,58.280,4.88,0.00000,71.09138,3,4
2022-10-16T14:33:26.00Z,46.3654760,-72.6755710,70.825,-1.59,0.04,3.03,56.629,62.852,4.35,0.00000,71.09688,3,4
2022-10-16T14:33:26.20Z,46.3654679,-72.6755833,70.096,-0.94,0.23,2.95,41.820,51.629,3.79,0.00000,71.10168,3,4
2022-10-16T14:33:26.40Z,46.3654654,-72.6755857,70.071,-1.31,0.29,3.01,35.692,45.342,3.54,0.00000,71.10617,3,4
2022-10-16T14:33:26.60Z,46.3654624,-72.6755870,69.565,-1.20,0.45,2.85,32.987,41.650,3.33,0.00000,71.11038,3,4
2022-10-16T14:33:26.80Z,46.3654507,-72.6756005,67.798,-1.11,0.21,2.79,30.459,38.466,3.17,0.00000,71.11438,3,4
2022-10-16T14:33:27.00Z,46.3654524,-72.6756054,67.851,-1.41,-0.60,2.00,28.623,35.490,3.31,234.23162,35.40910,3,4
2022-10-16T14:33:27.20Z,46.3654502,-72.6756133,66.751,-1.09,-0.30,1.77,25.744,32.566,2.57,217.73412,41.37216,3,4
2022-10-16T14:33:27.40Z,46.3654510,-72.6756185,65.873,-0.96,-0.13,1.71,22.776,29.623,2.44,203.78614,44.43609,3,4
2022-10-16T14:33:27.60Z,46.3654500,-72.6756229,64.976,-1.17,-0.14,1.61,20.527,27.293,2.36,193.53494,35.72018,3,4
2022-10-16T14:33:27.80Z,46.3654482,-72.6756285,64.229,-0.78,0.02,1.73,19.016,25.649,2.32,193.53494,35.72603,3,4
2022-10-16T14:33:28.00Z,46.3654504,-72.6756319,64.117,-0.76,-0.31,1.77,18.189,24.674,2.27,193.53494,35.73175,3,4
2022-10-16T14:33:28.20Z,46.3654592,-72.6756364,66.516,-0.57,-0.21,1.04,17.383,23.229,2.00,193.53494,35.73678,3,5
2022-10-16T14:33:28.40Z,46.3654641,-72.6756408,67.770,-0.43,-0.13,0.90,16.682,22.016,1.78,193.53494,35.74127,3,5
2022-10-16T14:33:28.60Z,46.3654710,-72.6756442,69.609,-0.28,-0.22,0.76,15.509,20.906,1.47,193.53494,35.74498,3,7
2022-10-16T14:33:28.80Z,46.3654738,-72.6756459,70.713,-0.56,-0.09,0.85,14.582,19.927,1.39,193.53494,35.74848,3,7
2022-10-16T14:33:29.00Z,46.3654788,-72.6756471,72.095,-0.47,-0.10,0.77,13.830,19.023,1.30,193.53494,35.75175,3,7
2022-10-16T14:33:29.20Z,46.3654824,-72.6756496,73.053,-0.24,-0.35,0.69,13.172,18.106,1.14,193.53494,35.75462,3,7
2022-10-16T14:33:29.40Z,46.3654814,-72.6756543,73.372,-0.46,-0.13,0.59,12.541,17.233,1.14,193.53494,35.75751,3,7
2022-10-16T14:33:29.60Z,46.3654847,-72.6756552,73.918,-0.45,-0.09,0.64,12.067,16.522,1.12,193.53494,35.76032,3,7
2022-10-16T14:33:29.80Z,46.3654867,-72.6756560,74.223,-0.46,-0.04,0.58,11.678,15.867,1.13,193.53494,35.76316,3,7
