millis,lat,long,h_msl,baro_alt,speed_h,speed_v,heading,accel,temp,press,num_satellites
# { "g_press": 100892.45, "g_temp": 23.27, "datetime": "2022-10-16T14:42:20Z", "fw_version": "0.4.1-gps-testing+git-7ae69c7" }
# Switched to mode: Climb
471000,463436578,-726872479,206892,141.97047,48342,-7574,21266441,,24.59,99255,13
471112,463436155,-726872905,207003,143.93568,48278,-7333,21272147,,24.59,99232,13
471168,463435947,-726873120,207148,143.93568,48154,-7006,21271734,,24.59,99232,13
471224,463435739,-726873327,207512,144.29991,48446,-6951,21247684,,24.60,99228,13
471280,463435538,-726873529,208142,144.9876,48440,-7218,21276179,,24.60,99220,13
471336,463435332,-726873739,208558,144.81091,48316,-7225,21264748,,24.60,99222,13
471392,463435119,-726873950,208791,145.44968,48509,-7143,21266496,,24.60,99215,13
471448,463434910,-726874161,209034,145.9036,48366,-7109,21258242,,24.60,99210,13
471504,463434710,-726874364,209582,146.2325,48242,-7198,21335653,,24.60,99206,13
471560,463434513,-726874559,210131,146.84407,48551,-7121,21306507,,24.60,99199,13
471616,463434313,-726874756,210630,147.09958,48189,-6811,21271319,,24.61,99196,13
471672,463434109,-726874956,210978,147.8226,48379,-6928,21255043,,24.61,99187,13
471728,463433908,-726875157,211392,147.8226,48500,-6971,21301465,,24.61,99187,13
471784,463433707,-726875360,211769,148.05635,48487,-7101,21327822,,24.61,99185,13
471840,463433505,-726875560,212145,148.52931,48438,-7339,21284068,,24.61,99179,13
471896,463433307,-726875759,212548,149.02673,48288,-7250,21286638,,24.61,99174,13
471952,463433106,-726875957,212911,149.33388,48108,-7127,21281114,,24.61,99170,13
472008,463432903,-726876157,213260,149.80956,47990,-7106,21282295,,24.61,99164,13
472064,463432699,-726876358,213625,150.30968,48192,-7101,21277072,,24.61,99159,13
472120,463432493,-726876558,213965,150.64401,48444,-7062,21254586,,24.61,99155,13
472176,463432287,-726876756,214335,151.10066,48273,-6946,21247739,,24.61,99150,13
472232,463432083,-726876954,214727,151.78835,48131,-6919,21285125,,24.61,99142,13
472288,463431877,-726877150,215126,151.78835,48433,-6834,21285902,,24.61,99142,13
472344,463431673,-726877345,215473,152.11723,48072,-6790,21303228,,24.61,99138,13
472400,463431468,-726877540,215862,152.29935,48140,-6863,21283109,,24.62,99136,13
472456,463431260,-726877736,216176,152.30751,48371,-6483,21258611,,24.62,99136,13
472512,463431055,-726877931,216491,152.31837,48191,-6509,21266468,,24.62,99136,13
472568,463430847,-726878127,216787,152.49777,48302,-6480,21283578,,24.62,99133,13
472624,463430641,-726878319,217162,155.18057,48212,-6338,21303970,,24.62,99103,13
472680,463430435,-726878513,217495,155.18057,48323,-6242,21313506,,24.62,99103,13
472736,463430229,-726878705,217816,155.18057,48391,-6159,21304040,,24.62,99103,13
472792,463430021,-726878901,218088,155.65895,48518,-6142,21289369,,24.62,99097,13
472848,463429814,-726879098,218342,155.65895,48412,-6219,21322828,,24.62,99097,13
473016,463429199,-726879675,219177,156.3548,48593,-5978,21308265,,24.62,99089,14
473072,463428998,-726879862,219511,156.52332,48657,-5995,21332371,,24.63,99087,14
473128,463428794,-726880048,219821,156.46352,48732,-5860,21311914,,24.63,99088,14
473184,463428589,-726880235,220107,156.82231,48768,-5887,21283994,,24.63,99084,14
473240,463428387,-726880424,220418,157.47467,48740,-5837,21331507,,24.63,99076,14
473296,463428188,-726880615,220689,157.78181,48488,-5421,21374376,,24.63,99073,14
473352,463427982,-726880808,220959,158.75218,48913,-5431,21352581,,24.63,99061,14
473408,463427776,-726881000,221244,158.75218,49132,-5493,21329423,,24.63,99061,14
473464,463427575,-726881191,221493,159.10826,48548,-5272,21354617,,24.63,99057,14
473520,463427376,-726881383,221719,159.49423,48208,-5206,21387004,,24.63,99053,14
473576,463427175,-726881575,221959,159.57578,48417,-5258,21393435,,24.63,99052,14
473632,463426968,-726881774,222178,159.68451,48802,-5186,21377433,,24.63,99051,13
473688,463426761,-726881970,222402,159.99165,48785,-5146,21349310,,24.63,99047,13
473744,463426555,-726882169,222593,160.14386,48649,-5068,21388361,,24.64,99045,13
473800,463426349,-726882367,222789,160.37491,48631,-4913,21415545,,24.64,99043,13
473856,463426146,-726882566,223036,160.52168,48413,-5197,21439766,,24.64,99041,13
473912,463425938,-726882764,223207,161.00279,48619,-4983,21382922,,24.64,99035,13
473968,463425735,-726882963,223358,161.00279,48341,-4803,21435929,,24.64,99035,13
474024,463425529,-726883163,223550,160.98376,48657,-4942,21434068,,24.64,99036,13
474080,463425321,-726883367,223698,161.1523,48742,-4834,21426785,,24.64,99034,13
474136,463425116,-726883571,223834,161.3779,48678,-4837,21449549,,24.64,99031,13
474192,463424909,-726883771,224027,161.76115,48713,-4897,21436447,,24.64,99027,13
474248,463424703,-726883975,224182,162.19061,48711,-4834,21454194,,24.65,99022,13
474304,463424496,-726884176,224335,162.69618,48600,-4731,21437885,,24.65,99016,13
474360,463424289,-726884379,224466,163.33223,48589,-4766,21450692,,24.65,99009,13
474416,463424079,-726884583,224601,163.98186,48950,-4666,21429445,,24.65,99001,13
474472,463423874,-726884787,224766,164.2428,48810,-4465,21472455,,24.65,98998,13
474528,463423670,-726884990,224980,164.2428,48568,-4622,21492520,,24.65,98998,13
474584,463423465,-726885195,225183,164.482,48633,-4591,21488660,,24.65,98995,13
474640,463423257,-726885399,225336,164.7511,48685,-4532,21448903,,24.65,98992,13
474696,463423049,-726885603,225519,165.1425,48845,-4538,21468114,,24.65,98988,13
474752,463422842,-726885807,225670,165.82747,48784,-4465,21482175,,24.65,98980,13
474808,463422631,-726886013,225798,166.21344,48766,-4335,21473222,,24.65,98975,13
474864,463422419,-726886220,225958,167.10771,48820,-4488,21471141,,24.65,98965,13
474920,463422207,-726886426,226115,168.14603,48846,-4574,21472466,,24.65,98953,13
