Time [s];Altitude [ft];Latitude [°];Longitude [°]
-2;13 550;NaN;NaN
-1,8;13 530;NaN;NaN
-1,5;13 510;NaN;NaN
-1,2;13 491;NaN;NaN
-1;13 468;NaN;NaN
-0,8;13 445;NaN;NaN
-0,5;13 415;NaN;NaN
-0,2;13 386;NaN;NaN
0;13 356;NaN;NaN
0,2;13 323;NaN;NaN
0,5;13 301;NaN;NaN
0,8;13 271;NaN;NaN
1;13 245;NaN;NaN
1,2;13 222;NaN;NaN
1,5;13 192;NaN;NaN
1,8;13 163;NaN;NaN
2;13 140;NaN;NaN
2,2;13 120;NaN;NaN
2,5;13 104;NaN;NaN
2,8;13 087;NaN;NaN
3;13 071;NaN;NaN
3,2;13 054;NaN;NaN
3,5;13 038;NaN;NaN
3,8;13 015;NaN;NaN
4;12 995;NaN;NaN
4,2;12 979;NaN;NaN
4,5;12 956;NaN;NaN
4,8;12 936;NaN;NaN
5;12 907;NaN;NaN
5,2;12 877;NaN;NaN
5,5;12 844;NaN;NaN
5,8;12 808;NaN;NaN
6;12 772;NaN;NaN
6,2;12 733;NaN;NaN
6,5;12 697;NaN;NaN
6,8;12 654;NaN;NaN
7;12 615;NaN;NaN
7,2;12 579;NaN;NaN
7,5;12 539;NaN;NaN
7,8;12 497;NaN;NaN
8;12 454;NaN;NaN
8,2;12 402;NaN;NaN
8,5;12 346;NaN;NaN
8,8;12 287;NaN;NaN
9;12 224;NaN;NaN
9,2;12 169;NaN;NaN
9,5;12 116;NaN;NaN
9,8;12 064;NaN;NaN
10;12 021;NaN;NaN
10,2;11 978;NaN;NaN
10,5;11 936;NaN;NaN
10,8;11 896;NaN;NaN
11;11 854;NaN;NaN
11,2;11 808;NaN;NaN
11,5;11 768;NaN;NaN
11,8;11 729;NaN;NaN
12;11 690;NaN;NaN
12,2;11 650;NaN;NaN
12,5;11 608;NaN;NaN
12,8;11 565;NaN;NaN
13;11 516;NaN;NaN
13,2;11 470;NaN;NaN
13,5;11 421;NaN;NaN
13,8;11 368;NaN;NaN
14;11 322;NaN;NaN
14,2;11 280;NaN;NaN
14,5;11 234;NaN;NaN
14,8;11 188;NaN;NaN
15;11 142;NaN;NaN
15,2;11 099;NaN;NaN
15,5;11 056;NaN;NaN
15,8;11 007;NaN;NaN
16;10 955;NaN;NaN
16,2;10 899;NaN;NaN
16,5;10 853;NaN;NaN
16,8;10 804;NaN;NaN
17;10 764;NaN;NaN
17,2;10 728;NaN;NaN
17,5;10 686;NaN;NaN
17,8;10 650;NaN;NaN
18;10 610;NaN;NaN
